"","player","nationality","position","squad","age","league","goals","Season"
"634","Taleb Tawatha","il ISR","DF,MF","Eint Frankfurt",25,"Bundesliga",0,"201718#"
"635","Jetro Willems","nl NED","DF,MF","Eint Frankfurt",23,"Bundesliga",0,"201718#"
"636","Marius Wolf","de GER","MF,DF","Eint Frankfurt",22,"Bundesliga",5,"201718#"
"637","Charles Aránguiz","cl CHI","MF","Leverkusen",28,"Bundesliga",1,"201718#"
"638","Benjamin Stambouli","fr FRA","DF,MF","Schalke 04",26,"Bundesliga",0,"201718#"
"639","Javi Fuego","es ESP","MF","Espanyol",33,"La Liga",0,"201718#"
"640","Sergio García","es ESP","FW,MF","Espanyol",34,"La Liga",2,"201718#"
"641","João Moutinho","pt POR","MF","Monaco",30,"Ligue 1",1,"201718#"
"642","Álvaro González","es ESP","DF","Villarreal",27,"La Liga",0,"201718#"
"643","David López","es ESP","DF,MF","Espanyol",27,"La Liga",1,"201718#"
"644","Diego López","es ESP","GK","Espanyol",35,"La Liga",0,"201718#"
"645","Javi López","es ESP","DF","Espanyol",31,"La Liga",0,"201718#"
"646","Pau López","es ESP","GK","Espanyol",22,"La Liga",0,"201718#"
"647","José Manuel Jurado","es ESP","MF,FW","Espanyol",31,"La Liga",0,"201718#"
"648","Aarón Martín","es ESP","DF","Espanyol",20,"La Liga",0,"201718#"
"649","Óscar Melendo","es ESP","MF,FW","Espanyol",19,"La Liga",0,"201718#"
"650","Gerard Moreno","es ESP","FW","Espanyol",25,"La Liga",16,"201718#"
"651","Angelo Ogbonna","it ITA","DF","West Ham",29,"Premier League",1,"201718#"
"652","Marc Navarro","es ESP","DF","Espanyol",22,"La Liga",1,"201718#"
"653","Hernán Pérez","py PAR","MF","Espanyol",28,"La Liga",0,"201718#"
"654","Pablo Piatti","ar ARG","MF,FW","Espanyol",28,"La Liga",2,"201718#"
"655","Marc Roca","es ESP","MF","Espanyol",20,"La Liga",0,"201718#"
"656","Carlos Sánchez","co COL","MF","Espanyol",31,"La Liga",0,"201718#"
"657","Armando Izzo","it ITA","DF","Genoa",25,"Serie A",1,"201718#"
"658","Mikel Merino","es ESP","MF","Newcastle Utd",21,"Premier League",1,"201718#"
"659","Dídac Vilà","es ESP","DF,MF","Espanyol",28,"La Liga",0,"201718#"
"660","Leighton Baines","eng ENG","DF","Everton",32,"Premier League",2,"201718#"
"661","Wylan Cyprien","fr FRA","MF","Nice",22,"Ligue 1",2,"201718#"
"662","Yannick Bolasie","cd COD","FW,MF","Everton",28,"Premier League",1,"201718#"
"663","Dominic Calvert-Lewin","eng ENG","FW,MF","Everton",20,"Premier League",4,"201718#"
"664","Benjamin André","fr FRA","MF","Rennes",26,"Ligue 1",3,"201718#"
"665","Jeffrey Gouweleeuw","nl NED","DF","Augsburg",26,"Bundesliga",0,"201718#"
"666","Sergi Gómez","es ESP","DF","Celta Vigo",25,"La Liga",1,"201718#"
"667","James Tomkins","eng ENG","DF","Crystal Palace",28,"Premier League",3,"201718#"
"668","Kevin Akpoguma","ng NGA","DF","Hoffenheim",22,"Bundesliga",0,"201718#"
"669","Jonjoe Kenny","eng ENG","DF","Everton",20,"Premier League",0,"201718#"
"670","Gerson","br BRA","MF,FW","Roma",20,"Serie A",2,"201718#"
"671","Aaron Lennon","eng ENG","FW,MF","Everton",30,"Premier League",0,"201718#"
"672","Ademola Lookman","eng ENG","MF,FW","Everton",19,"Premier League",0,"201718#"
"673","Benjamin Hübner","de GER","DF","Hoffenheim",28,"Bundesliga",3,"201718#"
"674","Cuco Martina","cw CUW","DF","Everton",27,"Premier League",0,"201718#"
"675","Alfred Duncan","gh GHA","MF","Sassuolo",24,"Serie A",0,"201718#"
"676","Kevin Mirallas","be BEL","FW,MF","Everton",29,"Premier League",0,"201718#"
"677","Oumar Niasse","sn SEN","FW","Everton",27,"Premier League",8,"201718#"
"678","Jordan Pickford","eng ENG","GK","Everton",23,"Premier League",0,"201718#"
"679","Sandro Ramírez","es ESP","FW,MF","Everton",22,"Premier League",0,"201718#"
"680","Wayne Rooney","eng ENG","MF,FW","Everton",31,"Premier League",10,"201718#"
"681","Morgan Schneiderlin","fr FRA","MF","Everton",27,"Premier League",0,"201718#"
"682","Cenk Tosun","tr TUR","FW","Everton",26,"Premier League",5,"201718#"
"683","Theo Walcott","eng ENG","FW,MF","Everton",28,"Premier League",3,"201718#"
"684","Miranda","br BRA","DF","Inter",32,"Serie A",0,"201718#"
"685","Khouma Babacar","sn SEN","FW,MF","Fiorentina",24,"Serie A",4,"201718#"
"686","Milan Badelj","hr CRO","MF","Fiorentina",28,"Serie A",2,"201718#"
"687","Daniele Baselli","it ITA","MF","Torino",25,"Serie A",4,"201718#"
"688","Cristiano Biraghi","it ITA","DF","Fiorentina",24,"Serie A",1,"201718#"
"689","Federico Chiesa","it ITA","FW,MF","Fiorentina",19,"Serie A",6,"201718#"
"690","Will Hughes","eng ENG","MF,FW","Watford",22,"Premier League",2,"201718#"
"691","Maximilian Eggestein","de GER","MF","Werder Bremen",20,"Bundesliga",2,"201718#"
"692","Valentin Eysseric","fr FRA","FW,MF","Fiorentina",25,"Serie A",1,"201718#"
"693","Diego Falcinelli","it ITA","FW,MF","Fiorentina",26,"Serie A",0,"201718#"
"694","Bruno Gaspar","ao ANG","DF","Fiorentina",24,"Serie A",0,"201718#"
"695","Luiz Felipe","br BRA","DF","Lazio",20,"Serie A",0,"201718#"
"696","Vincent Laurini","fr FRA","DF","Fiorentina",28,"Serie A",0,"201718#"
"697","Simone Lo Faso","it ITA","FW","Fiorentina",19,"Serie A",0,"201718#"
"698","Maximiliano Olivera","uy URU","DF","Fiorentina",25,"Serie A",0,"201718#"
"699","Raúl Albiol","es ESP","DF","Napoli",31,"Serie A",3,"201718#"
"700","Carlos Sánchez","co COL","MF,FW","Fiorentina",31,"Serie A",1,"201718#"
"701","Riccardo Saponara","it ITA","MF,FW","Fiorentina",25,"Serie A",0,"201718#"
"702","Giovanni Simeone","ar ARG","FW","Fiorentina",22,"Serie A",14,"201718#"
"703","Marco Sportiello","it ITA","GK","Fiorentina",25,"Serie A",0,"201718#"
"704","Cyril Théréau","fr FRA","FW,MF","Fiorentina",34,"Serie A",5,"201718#"
"705","Florian Lejeune","fr FRA","DF","Newcastle Utd",26,"Premier League",0,"201718#"
"706","Maximilian Arnold","de GER","MF","Wolfsburg",23,"Bundesliga",2,"201718#"
"707","Rafik Zekhnini","no NOR","MF","Fiorentina",19,"Serie A",0,"201718#"
"708","Amir Abrashi","al ALB","MF","Freiburg",27,"Bundesliga",0,"201718#"
"709","Onur Bulut","tr TUR","MF","Freiburg",23,"Bundesliga",0,"201718#"
"710","Mohamed Dräger","tn TUN","MF,FW","Freiburg",21,"Bundesliga",0,"201718#"
"711","Seko Fofana","ci CIV","MF","Udinese",22,"Serie A",3,"201718#"
"712","Karim Guédé","sk SVK","FW","Freiburg",32,"Bundesliga",0,"201718#"
"713","Ibrahima Konaté","fr FRA","DF","RB Leipzig",18,"Bundesliga",0,"201718#"
"714","Christian Günter","de GER","DF,MF","Freiburg",24,"Bundesliga",1,"201718#"
"715","Valentin Rongier","fr FRA","MF,FW","Nantes",22,"Ligue 1",1,"201718#"
"716","Nicolas Höfler","de GER","MF","Freiburg",27,"Bundesliga",1,"201718#"
"717","Lucas Höler","de GER","MF,FW","Freiburg",23,"Bundesliga",1,"201718#"
"718","Bartosz Kapustka","pl POL","FW,MF","Freiburg",20,"Bundesliga",1,"201718#"
"719","Florian Kath","de GER","FW,MF","Freiburg",22,"Bundesliga",1,"201718#"
"720","Ryan Kent","eng ENG","FW,MF","Freiburg",20,"Bundesliga",0,"201718#"
"721","Tim Kleindienst","de GER","FW","Freiburg",21,"Bundesliga",2,"201718#"
"722","Jérémy Gélin","fr FRA","DF,MF","Rennes",20,"Ligue 1",0,"201718#"
"723","Lukas Kübler","de GER","DF","Freiburg",24,"Bundesliga",0,"201718#"
"724","Jack Stephens","eng ENG","DF","Southampton",23,"Premier League",2,"201718#"
"725","Florian Niederlechner","de GER","FW,MF","Freiburg",26,"Bundesliga",2,"201718#"
"726","Nils Petersen","de GER","FW","Freiburg",28,"Bundesliga",15,"201718#"
"727","Yoric Ravet","fr FRA","MF,FW","Freiburg",27,"Bundesliga",0,"201718#"
"728","Alexander Schwolow","de GER","GK","Freiburg",25,"Bundesliga",0,"201718#"
"729","Tom Cleverley","eng ENG","MF","Watford",27,"Premier League",1,"201718#"
"730","Caleb Stanko","us USA","DF,MF","Freiburg",24,"Bundesliga",0,"201718#"
"731","Pascal Stenzel","de GER","DF,MF","Freiburg",21,"Bundesliga",1,"201718#"
"732","Marco Terrazzino","de GER","MF,FW","Freiburg",26,"Bundesliga",0,"201718#"
"733","Soualiho Meïté","fr FRA","MF","Bordeaux",23,"Ligue 1",1,"201718#"
"734","Gonzalo Castro","de GER","MF","Dortmund",30,"Bundesliga",0,"201718#"
"735","Federico Fernández","ar ARG","DF","Swansea City",28,"Premier League",1,"201718#"
"736","James McCarthy","ie IRL","MF","Everton",26,"Premier League",0,"201718#"
"737","Ricardo Centurión","ar ARG","MF,FW","Genoa",24,"Serie A",0,"201718#"
"738","Isaac Cofie","gh GHA","MF","Genoa",25,"Serie A",0,"201718#"
"739","Craig Dawson","eng ENG","DF","West Brom",27,"Premier League",2,"201718#"
"740","Yves Bissouma","ml MLI","MF,DF","Lille",20,"Ligue 1",2,"201718#"
"741","José Luis Palomino","ar ARG","DF","Atalanta",27,"Serie A",1,"201718#"
"742","Eugenio Lamanna","it ITA","GK","Genoa",27,"Serie A",0,"201718#"
"743","Gianluca Lapadula","pe PER","FW","Genoa",27,"Serie A",6,"201718#"
"744","Diego Laxalt","uy URU","DF,MF","Genoa",24,"Serie A",3,"201718#"
"745","Iuri Medeiros","pt POR","FW,MF","Genoa",23,"Serie A",2,"201718#"
"746","Francesco Migliore","it ITA","DF","Genoa",29,"Serie A",0,"201718#"
"747","Soualiho Meïté","fr FRA","MF","Monaco",23,"Ligue 1",0,"201718#"
"748","Raffaele Palladino","it ITA","FW,MF","Genoa",33,"Serie A",0,"201718#"
"749","Goran Pandev","mk MKD","FW,MF","Genoa",34,"Serie A",5,"201718#"
"750","Pietro Pellegri","it ITA","FW","Genoa",16,"Serie A",2,"201718#"
"751","Pedro Pereira","pt POR","DF","Genoa",19,"Serie A",0,"201718#"
"752","Mattia Perin","it ITA","GK","Genoa",24,"Serie A",0,"201718#"
"753","Federico Ricci","it ITA","FW,MF","Genoa",23,"Serie A",0,"201718#"
"754","Marko Rog","hr CRO","FW,MF","Napoli",22,"Serie A",1,"201718#"
"755","Aleandro Rosi","it ITA","DF,MF","Genoa",30,"Serie A",0,"201718#"
"756","Vitor Hugo","br BRA","DF","Fiorentina",26,"Serie A",1,"201718#"
"757","Giuseppe Rossi","it ITA","FW,MF","Genoa",30,"Serie A",1,"201718#"
"758","Dominique Heintz","de GER","DF","Köln",23,"Bundesliga",1,"201718#"
"759","Adel Taarabt","ma MAR","FW,MF","Genoa",28,"Serie A",2,"201718#"
"760","Miguel Veloso","pt POR","MF","Genoa",31,"Serie A",1,"201718#"
"761","Wallace","br BRA","DF","Lazio",22,"Serie A",0,"201718#"
"762","Vitorino Antunes","pt POR","DF","Getafe",30,"La Liga",0,"201718#"
"763","Konrad Laimer","at AUT","DF,MF","RB Leipzig",20,"Bundesliga",0,"201718#"
"764","Markel Bergara","es ESP","MF","Getafe",31,"La Liga",4,"201718#"
"765","Marcel Tisserand","cd COD","DF","Wolfsburg",24,"Bundesliga",0,"201718#"
"766","Rob Holding","eng ENG","DF","Arsenal",21,"Premier League",0,"201718#"
"767","Sam Clucas","eng ENG","MF,FW","Swansea City",26,"Premier League",3,"201718#"
"768","Mathieu Flamini","fr FRA","MF","Getafe",33,"La Liga",0,"201718#"
"769","Jules Koundé","fr FRA","DF","Bordeaux",18,"Ligue 1",2,"201718#"
"770","Vicente Guaita","es ESP","GK","Getafe",30,"La Liga",0,"201718#"
"771","Álvaro Jiménez","es ESP","MF,FW","Getafe",22,"La Liga",1,"201718#"
"772","Mehdi Lacen","dz ALG","MF","Getafe",33,"La Liga",0,"201718#"
"773","Emiliano Martínez","ar ARG","GK","Getafe",24,"La Liga",0,"201718#"
"774","Jorge Molina","es ESP","FW","Getafe",35,"La Liga",7,"201718#"
"775","Francisco Molinero","es ESP","DF","Getafe",32,"La Liga",0,"201718#"
"776","Jefferson Montero","ec ECU","FW,MF","Getafe",27,"La Liga",0,"201718#"
"777","Pedro Obiang","gq EQG","MF","West Ham",25,"Premier League",2,"201718#"
"778","Francisco Portillo","es ESP","MF,FW","Getafe",27,"La Liga",2,"201718#"
"779","Loïc Rémy","fr FRA","FW,MF","Getafe",30,"La Liga",3,"201718#"
"780","Ángel Rodríguez","es ESP","FW","Getafe",30,"La Liga",13,"201718#"
"781","Andrea Bertolacci","it ITA","MF","Genoa",26,"Serie A",1,"201718#"
"782","Damián Suárez","uy URU","DF","Getafe",29,"La Liga",1,"201718#"
"783","Steve Cook","eng ENG","DF","Bournemouth",26,"Premier League",2,"201718#"
"784","Eloi Amagat","es ESP","FW,MF","Girona",32,"La Liga",0,"201718#"
"785","Filippo Romagna","it ITA","DF","Cagliari",20,"Serie A",0,"201718#"
"786","Stefano Sturaro","it ITA","MF,DF","Juventus",24,"Serie A",0,"201718#"
"787","Borja García","es ESP","MF,FW","Girona",26,"La Liga",2,"201718#"
"788","Suat Serdar","de GER","MF","Mainz 05",20,"Bundesliga",2,"201718#"
"789","Gorka Iraizoz","es ESP","GK","Girona",36,"La Liga",0,"201718#"
"790","Carlos Salcedo","mx MEX","DF","Eint Frankfurt",23,"Bundesliga",0,"201718#"
"791","Olarenwaju Kayode","ng NGA","FW,MF","Girona",24,"La Liga",0,"201718#"
"792","Douglas Luiz","br BRA","MF,FW","Girona",19,"La Liga",0,"201718#"
"793","Pablo Maffeo","es ESP","MF,DF","Girona",20,"La Liga",0,"201718#"
"794","Johan Mojica","co COL","MF,DF","Girona",24,"La Liga",0,"201718#"
"795","Marlos Moreno","co COL","MF","Girona",20,"La Liga",0,"201718#"
"796","Mason Holgate","eng ENG","DF","Everton",20,"Premier League",0,"201718#"
"797","Michael Olunga","ke KEN","FW","Girona",23,"La Liga",3,"201718#"
"798","Carles Planas","es ESP","DF,MF","Girona",26,"La Liga",0,"201718#"
"799","Pere Pons","es ESP","MF","Girona",24,"La Liga",0,"201718#"
"800","Portu","es ESP","FW,MF","Girona",25,"La Liga",11,"201718#"
"801","Robin Koch","de GER","MF,DF","Freiburg",21,"Bundesliga",2,"201718#"
"802","Kévin Soni","cm CMR","MF","Girona",19,"La Liga",0,"201718#"
"803","Cristhian Stuani","uy URU","FW","Girona",30,"La Liga",21,"201718#"
"804","David Timor","es ESP","MF,DF","Girona",27,"La Liga",2,"201718#"
"805","Roberto Soriano","it ITA","MF,FW","Villarreal",26,"La Liga",0,"201718#"
"806","Bernardo Espinosa","co COL","DF","Girona",28,"La Liga",0,"201718#"
"807","Dennis Diekmeier","de GER","DF","Hamburger SV",27,"Bundesliga",0,"201718#"
"808","Jorge Meré","es ESP","DF","Köln",20,"Bundesliga",1,"201718#"
"809","Albin Ekdal","se SWE","MF","Hamburger SV",28,"Bundesliga",0,"201718#"
"810","Mohamed Gouaida","tn TUN","MF","Hamburger SV",24,"Bundesliga",0,"201718#"
"811","André Hahn","de GER","FW,MF","Hamburger SV",26,"Bundesliga",3,"201718#"
"812","Harry Arter","ie IRL","MF","Bournemouth",27,"Premier League",1,"201718#"
"813","Aaron Hunt","de GER","MF,FW","Hamburger SV",30,"Bundesliga",3,"201718#"
"814","Tatsuya Ito","jp JPN","MF,FW","Hamburger SV",20,"Bundesliga",0,"201718#"
"815","Steven Defour","be BEL","MF","Burnley",29,"Premier League",1,"201718#"
"816","Bakery Jatta","gm GAM","MF,FW","Hamburger SV",19,"Bundesliga",0,"201718#"
"817","Adil Rami","fr FRA","DF","Marseille",31,"Ligue 1",1,"201718#"
"818","Törles Knöll","de GER","MF","Hamburger SV",19,"Bundesliga",0,"201718#"
"819","Christian Mathenia","de GER","GK","Hamburger SV",25,"Bundesliga",0,"201718#"
"820","Nicolai Müller","de GER","MF,DF","Hamburger SV",29,"Bundesliga",1,"201718#"
"821","Maya Yoshida","jp JPN","DF","Southampton",28,"Premier League",2,"201718#"
"822","Julian Pollersbeck","de GER","GK","Hamburger SV",22,"Bundesliga",0,"201718#"
"823","Douglas Santos","br BRA","DF","Hamburger SV",23,"Bundesliga",1,"201718#"
"824","Sven Schipplock","de GER","FW,MF","Hamburger SV",28,"Bundesliga",0,"201718#"
"825","Josha Vagnoman","de GER","DF,MF","Hamburger SV",16,"Bundesliga",0,"201718#"
"826","Walace","br BRA","MF","Hamburger SV",22,"Bundesliga",1,"201718#"
"827","Luca Waldschmidt","de GER","MF,FW","Hamburger SV",21,"Bundesliga",1,"201718#"
"828","Bobby Wood","us USA","FW,MF","Hamburger SV",24,"Bundesliga",2,"201718#"
"829","Christian Kabasele","be BEL","DF","Watford",26,"Premier League",2,"201718#"
"830","Rolando Aarons","eng ENG","MF,FW","Hellas Verona",21,"Serie A",0,"201718#"
"831","Enrico Bearzotti","it ITA","DF,FW","Hellas Verona",20,"Serie A",0,"201718#"
"832","Lucas Castro","ar ARG","MF","Chievo",28,"Serie A",3,"201718#"
"833","Winston Reid","nz NZL","DF","West Ham",29,"Premier League",0,"201718#"
"834","Bastos","ao ANG","DF","Lazio",26,"Serie A",4,"201718#"
"835","Claudio Marchisio","it ITA","MF","Juventus",31,"Serie A",0,"201718#"
"836","Rodrigo Ely","br BRA","DF","Alavés",23,"La Liga",1,"201718#"
"837","Phil Foden","eng ENG","MF","Manchester City",17,"Premier League",0,"201718#"
"838","Kevin Danso","at AUT","DF","Augsburg",18,"Bundesliga",2,"201718#"
"839","Alessio Cerci","it ITA","FW,MF","Hellas Verona",30,"Serie A",3,"201718#"
"840","Andrea Danzi","it ITA","MF","Hellas Verona",18,"Serie A",0,"201718#"
"841","Mohamed Fares","dz ALG","DF,MF","Hellas Verona",21,"Serie A",0,"201718#"
"842","Christopher Schindler","de GER","DF","Huddersfield",27,"Premier League",0,"201718#"
"843","Gian Filippo Felicioli","it ITA","FW,DF","Hellas Verona",19,"Serie A",0,"201718#"
"844","Marco Fossati","it ITA","MF","Hellas Verona",24,"Serie A",0,"201718#"
"845","Stefan Bell","de GER","DF","Mainz 05",25,"Bundesliga",1,"201718#"
"846","Moise Kean","it ITA","FW","Hellas Verona",17,"Serie A",4,"201718#"
"847","Ryder Matos","br BRA","FW,MF","Hellas Verona",24,"Serie A",0,"201718#"
"848","Giampaolo Pazzini","it ITA","FW","Hellas Verona",32,"Serie A",4,"201718#"
"849","Scott McTominay","sco SCO","MF","Manchester Utd",20,"Premier League",0,"201718#"
"850","Marco Silvestri","it ITA","GK","Hellas Verona",26,"Serie A",0,"201718#"
"851","Chidozie Awaziem","ng NGA","DF","Nantes",20,"Ligue 1",1,"201718#"
"852","Adama Traoré","ml MLI","MF,FW","Monaco",22,"Ligue 1",3,"201718#"
"853","Daniele Verde","it ITA","FW,MF","Hellas Verona",21,"Serie A",2,"201718#"
"854","Mattia Zaccagni","it ITA","MF,FW","Hellas Verona",22,"Serie A",0,"201718#"
"855","Bruno Zuculini","ar ARG","MF","Hellas Verona",24,"Serie A",2,"201718#"
"856","Roque Mesa","es ESP","MF","Sevilla",28,"La Liga",0,"201718#"
"857","Alberto Grassi","it ITA","MF","SPAL",22,"Serie A",3,"201718#"
"858","Ondrej Duda","sk SVK","MF","Hertha BSC",22,"Bundesliga",1,"201718#"
"859","Alexander Esswein","de GER","FW,MF","Hertha BSC",27,"Bundesliga",2,"201718#"
"860","Genki Haraguchi","jp JPN","MF,FW","Hertha BSC",26,"Bundesliga",0,"201718#"
"861","Rune Jarstein","no NOR","GK","Hertha BSC",32,"Bundesliga",0,"201718#"
"862","Salomon Kalou","ci CIV","FW,MF","Hertha BSC",31,"Bundesliga",12,"201718#"
"863","Thomas Kraft","de GER","GK","Hertha BSC",29,"Bundesliga",0,"201718#"
"864","Ciaran Clark","ie IRL","DF","Newcastle Utd",27,"Premier League",2,"201718#"
"865","Valentino Lazaro","at AUT","MF,FW","Hertha BSC",21,"Bundesliga",2,"201718#"
"866","Mathew Leckie","au AUS","FW,MF","Hertha BSC",26,"Bundesliga",5,"201718#"
"867","Chancel Mbemba","cd COD","DF","Newcastle Utd",22,"Premier League",0,"201718#"
"868","Arne Maier","de GER","MF","Hertha BSC",18,"Bundesliga",0,"201718#"
"869","Maximilian Mittelstädt","de GER","MF,DF","Hertha BSC",20,"Bundesliga",0,"201718#"
"870","Marvin Plattenhardt","de GER","DF","Hertha BSC",25,"Bundesliga",0,"201718#"
"871","Marlon","br BRA","DF","Nice",21,"Ligue 1",0,"201718#"
"872","Julian Schieber","de GER","MF,FW","Hertha BSC",28,"Bundesliga",0,"201718#"
"873","Davie Selke","de GER","FW","Hertha BSC",22,"Bundesliga",10,"201718#"
"874","Christopher Jullien","fr FRA","DF","Toulouse",24,"Ligue 1",1,"201718#"
"875","Valentin Stocker","ch SUI","MF","Hertha BSC",28,"Bundesliga",0,"201718#"
"876","Christophe Hérelle","mq MTQ","DF","Troyes",24,"Ligue 1",0,"201718#"
"877","Mitchell Weiser","de GER","DF,FW","Hertha BSC",23,"Bundesliga",1,"201718#"
"878","Rúben Vezo","pt POR","DF","Valencia",23,"La Liga",0,"201718#"
"879","Nadiem Amiri","de GER","MF,FW","Hoffenheim",20,"Bundesliga",2,"201718#"
"880","Oliver Baumann","de GER","GK","Hoffenheim",27,"Bundesliga",0,"201718#"
"881","Tom Carroll","eng ENG","MF","Swansea City",25,"Premier League",0,"201718#"
"882","Roque Mesa","es ESP","MF","Swansea City",28,"Premier League",0,"201718#"
"883","Serge Gnabry","de GER","FW,DF","Hoffenheim",22,"Bundesliga",10,"201718#"
"884","Mark Noble","eng ENG","MF","West Ham",30,"Premier League",4,"201718#"
"885","Robin Hack","de GER","FW,DF","Hoffenheim",18,"Bundesliga",1,"201718#"
"886","Jeffrey Bruma","nl NED","DF","Wolfsburg",25,"Bundesliga",0,"201718#"
"887","Philipp Ochs","de GER","FW,DF","Hoffenheim",20,"Bundesliga",0,"201718#"
"888","Felix Passlack","de GER","MF,DF","Hoffenheim",19,"Bundesliga",0,"201718#"
"889","Eugen Polanski","pl POL","MF","Hoffenheim",31,"Bundesliga",0,"201718#"
"890","Papy Djilobodji","sn SEN","DF","Dijon",28,"Ligue 1",0,"201718#"
"891","Weston McKennie","us USA","MF","Schalke 04",18,"Bundesliga",0,"201718#"
"892","Nico Schulz","de GER","DF,MF","Hoffenheim",24,"Bundesliga",1,"201718#"
"893","Ádám Szalai","hu HUN","FW","Hoffenheim",29,"Bundesliga",5,"201718#"
"894","Jeremy Toljan","de GER","MF,DF","Hoffenheim",22,"Bundesliga",0,"201718#"
"895","Mark Uth","de GER","FW,MF","Hoffenheim",25,"Bundesliga",14,"201718#"
"896","Mauricio Lemos","uy URU","DF,MF","Las Palmas",21,"La Liga",0,"201718#"
"897","Sandro Wagner","de GER","FW","Hoffenheim",29,"Bundesliga",4,"201718#"
"898","Steven Zuber","ch SUI","DF,MF","Hoffenheim",25,"Bundesliga",1,"201718#"
"899","Víctor Camarasa","es ESP","MF","Betis",23,"La Liga",1,"201718#"
"900","Mauricio Lemos","uy URU","DF","Sassuolo",21,"Serie A",1,"201718#"
"901","Laurent Depoitre","be BEL","FW","Huddersfield",28,"Premier League",6,"201718#"
"902","Florent Hadergjonaj","xk KVX","DF,MF","Huddersfield",23,"Premier League",0,"201718#"
"903","Thomas Vermaelen","be BEL","DF","Barcelona",31,"La Liga",0,"201718#"
"904","Lukas Lerager","dk DEN","MF","Bordeaux",24,"Ligue 1",3,"201718#"
"905","Tom Ince","eng ENG","MF,FW","Huddersfield",25,"Premier League",2,"201718#"
"906","Elias Kachunga","cd COD","FW,MF","Huddersfield",25,"Premier League",1,"201718#"
"907","Jordi Amat","es ESP","DF,MF","Betis",25,"La Liga",0,"201718#"
"908","Rajiv van La Parra","nl NED","FW,MF","Huddersfield",26,"Premier League",3,"201718#"
"909","Joe Lolley","eng ENG","MF,FW","Huddersfield",24,"Premier League",1,"201718#"
"910","Jonas Lössl","dk DEN","GK","Huddersfield",28,"Premier League",0,"201718#"
"911","Chris Löwe","de GER","DF","Huddersfield",28,"Premier League",0,"201718#"
"912","Scott Malone","eng ENG","DF","Huddersfield",26,"Premier League",0,"201718#"
"913","Dale Stephens","eng ENG","MF","Brighton",28,"Premier League",0,"201718#"
"914","Steve Mounié","bj BEN","FW","Huddersfield",22,"Premier League",7,"201718#"
"915","Kasey Palmer","eng ENG","MF,FW","Huddersfield",20,"Premier League",0,"201718#"
"916","Alex Pritchard","eng ENG","MF,FW","Huddersfield",24,"Premier League",1,"201718#"
"917","Collin Quaner","de GER","FW,MF","Huddersfield",26,"Premier League",0,"201718#"
"918","Abdelhamid Sabiri","de GER","MF,DF","Huddersfield",20,"Premier League",0,"201718#"
"919","Ethan Ampadu","wal WAL","DF","Chelsea",16,"Premier League",0,"201718#"
"920","Tommy Smith","eng ENG","DF","Huddersfield",25,"Premier League",0,"201718#"
"921","James McArthur","sco SCO","MF,FW","Crystal Palace",29,"Premier League",5,"201718#"
"922","Danny Williams","us USA","MF","Huddersfield",28,"Premier League",0,"201718#"
"923","João Cancelo","pt POR","DF","Inter",23,"Serie A",1,"201718#"
"924","Antonio Candreva","it ITA","FW","Inter",30,"Serie A",0,"201718#"
"925","Danilo D'Ambrosio","it ITA","DF","Inter",28,"Serie A",2,"201718#"
"926","Éder","it ITA","FW,MF","Inter",30,"Serie A",3,"201718#"
"927","Federico Valverde","uy URU","MF,FW","La Coruña",19,"La Liga",0,"201718#"
"928","Mauro Icardi","ar ARG","FW","Inter",24,"Serie A",29,"201718#"
"929","Yann Karamoh","fr FRA","FW,MF","Inter",19,"Serie A",1,"201718#"
"930","Scott Dann","eng ENG","DF","Crystal Palace",30,"Premier League",1,"201718#"
"931","Alessandro Murgia","it ITA","MF","Lazio",20,"Serie A",0,"201718#"
"932","Dan-Axel Zagadou","fr FRA","DF","Dortmund",18,"Bundesliga",1,"201718#"
"933","Yuto Nagatomo","jp JPN","DF","Inter",30,"Serie A",0,"201718#"
"934","Andrea Pinamonti","it ITA","FW","Inter",18,"Serie A",0,"201718#"
"935","Rodrigo De Paul","ar ARG","MF,FW","Udinese",23,"Serie A",4,"201718#"
"936","David Abraham","ar ARG","DF","Eint Frankfurt",31,"Bundesliga",0,"201718#"
"937","Davide Santon","it ITA","DF","Inter",26,"Serie A",0,"201718#"
"938","Xeka","pt POR","MF","Dijon",22,"Ligue 1",2,"201718#"
"939","Xeka","pt POR","MF","Lille",22,"Ligue 1",0,"201718#"
"940","Kwadwo Asamoah","gh GHA","DF","Juventus",28,"Serie A",0,"201718#"
"941","Mario Hermoso","es ESP","DF","Espanyol",22,"La Liga",1,"201718#"
"942","Ashley Williams","wal WAL","DF","Everton",32,"Premier League",1,"201718#"
"943","Andrés Guardado","mx MEX","MF","Betis",30,"La Liga",2,"201718#"
"944","Federico Bernardeschi","it ITA","FW,MF","Juventus",23,"Serie A",4,"201718#"
"945","Gianluigi Buffon","it ITA","GK","Juventus",39,"Serie A",0,"201718#"
"946","Juanpe","es ESP","DF","Girona",26,"La Liga",5,"201718#"
"947","Douglas Costa","br BRA","FW,MF","Juventus",26,"Serie A",4,"201718#"
"948","Juan Cuadrado","co COL","FW,MF","Juventus",29,"Serie A",4,"201718#"
"949","Mattia De Sciglio","it ITA","DF","Juventus",24,"Serie A",1,"201718#"
"950","Paulo Dybala","ar ARG","MF,FW","Juventus",23,"Serie A",22,"201718#"
